st,cy,as,sa
57,1059,Andrwari,246439
57,1059,Arkhund,246425
57,1059,Augustmuni,246421
57,1059,Badasu,246471
57,1059,Baksir,246419
57,1059,Bansu,246439
57,1059,Barab,246425
57,1059,Barsir,246141
57,1059,Barsudi,246171
57,1059,Basti,246425
57,1059,Basukedar,246425
57,1059,Bawai,246442
57,1059,Bhaunsal,246421
57,1059,Bijarakot,246429
57,1059,Biron,246171
57,1059,Budna,246475
57,1059,Byung,246471
57,1059,Chandra Nagar,246425
57,1059,Chauriyabhardar,246475
57,1059,Chirbatiya,246475
57,1059,Dadoli,246421
57,1059,Daira,246469
57,1059,Dangwal Gaon,246421
57,1059,Devidharmamani,246475
57,1059,Dhartondla,246425
57,1059,Durgadhar,246442
57,1059,Fafanj,246469
57,1059,Falasi,246442
57,1059,Gaharkhal,246171
57,1059,Gaurikund Gdsso,246476
57,1059,Ghandiyalka,246171
57,1059,Ghimtoli,246442
57,1059,Gholtir Edso,246438
57,1059,Guptkashi,246439
57,1059,Haretikhal,246495
57,1059,Jagoth,246425
57,1059,Jakhal,246475
57,1059,Jakhdhar,246171
57,1059,Jakholi,246141
57,1059,Jaltalla,246439
57,1059,Kalimath,246439
57,1059,Kedarnath Seasional,246445
57,1059,Khaliyan,246141
57,1059,Khankara,246171
57,1059,Kimana,246421
57,1059,Kolli,246171
57,1059,Kotbangar,246141
57,1059,Kotma,246439
57,1059,Kotmalla,246429
57,1059,Kumerisimli,246475
57,1059,Kurchhola,246475
57,1059,Kurjhan,246495
57,1059,Kweelakhal,246475
57,1059,Kyark Barsuri,246425
57,1059,Kyuri,246442
57,1059,Kyuridasjula,246429
57,1059,Ladoli,246429
57,1059,Lamgondi,246439
57,1059,Machkandi,246425
57,1059,Maiki Marhi,246171
57,1059,Makoomath,246419
57,1059,Mansoona,246469
57,1059,Mayali,246475
57,1059,Munnadewal,246475
57,1059,Mussadhung,246475
57,1059,Nagjagai,246419
57,1059,Nainipondar,246425
57,1059,Narainkoti,246471
57,1059,Narkota,246171
57,1059,Nawasu,246171
57,1059,Paldwari,246419
57,1059,Pallabazar Ndtso,246171
57,1059,Pandrola,246475
57,1059,Panjana,246141
57,1059,Parkandi,246419
57,1059,Pathalidhar,246421
57,1059,Paunthi,246141
57,1059,Pauri Nishni,246171
57,1059,Pilloo,246425
57,1059,Pokhata,246442
57,1059,Purviyana,246141
57,1059,Ransi,246439
57,1059,Raunlenk,246439
57,1059,Rudraprayag Mdg,246171
57,1059,Rumsi,246421
57,1059,Sakalana,246475
57,1059,Saterakhal,246171
57,1059,Saurakhal,246475
57,1059,Semlta,246475
57,1059,Serabhardar,246171
57,1059,Sidhsaur,246475
57,1059,Sirwari,246141
57,1059,Sumerpur,246171
57,1059,Sursal,246419
57,1059,Syurbangar,246421
57,1059,Taila,246475
57,1059,Thatigadgu,246469
57,1059,Timli Badama,246421
57,1059,Trijuginarain,246471
57,1059,Tulanga,246439
57,1059,Tuneta,246475
57,1059,Uchadhungi,246425
57,1059,Uchhola,246419
57,1059,Uniyana,246439
57,1059,Uttarsu,246421
57,1059,Vidhyapeeth Edso,246437
57,1059,Vinobapuri,246425
57,968,31st Bn Pac Rudarpur,263150
57,968,31st Bn Pac Rudarpur,263150
57,968,Adarshnagar,263152
57,968,Adarshnagar,263152
57,968,Anandnagar,254716
57,968,Anandnagar,254716
57,968,Bagwara,263148
57,968,Bagwara,263148
57,968,Bannakhera,262401
57,968,Bannakhera,262401
57,968,Barhani,262401
57,968,Barhani,262401
57,968,Barionwala,244712
57,968,Barionwala,244712
57,968,Baruabagh,262405
57,968,Baruabagh,262405
57,968,Beria Majhola,262308
57,968,Beria Majhola,262308
57,968,Bhajuanagla,262401
57,968,Bhajuanagla,262401
57,968,Bhanga,263148
57,968,Bhanga,263148
57,968,Bhura Kishani,262308
57,968,Bhura Kishani,262308
57,968,Bhurarani,263153
57,968,Bhurarani,263153
57,968,Bhuria Coloney,263148
57,968,Bhuria Coloney,263148
57,968,Bidora,262405
57,968,Bidora,262405
57,968,Bigra Bagh,262308
57,968,Bigra Bagh,262308
57,968,Bijitipattia,262405
57,968,Bijitipattia,262405
57,968,Chakarpur Edso,262312
57,968,Chakarpur Edso,262312
57,968,Charubetta,262308
57,968,Charubetta,262308
57,968,Chattarpur,263153
57,968,Chattarpur,263153
57,968,Chaukhandi,244713
57,968,Chaukhandi,244713
57,968,D.f. Nagla,263149
57,968,D.f. Nagla,263149
57,968,Danpur,263153
57,968,Danpur,263153
57,968,Darau,263148
57,968,Darau,263148
57,968,Deoria,263148
57,968,Deoria,263148
57,968,Dhakia No 1,244713
57,968,Dhakia No 1,244713
57,968,Dharampur,244712
57,968,Dharampur,244712
57,968,Doraha,262401
57,968,Doraha,262401
57,968,Fauzi Coloney,262401
57,968,Fauzi Coloney,262401
57,968,Gadarpura,263152
57,968,Gadarpura,263152
57,968,Gandhi Chowk Rudarpur,263153
57,968,Gandhi Chowk Rudarpur,263153
57,968,Ganeshnagar,244713
57,968,Ganeshnagar,244713
57,968,Gaujhariya,262308
57,968,Gaujhariya,262308
57,968,Ghusari,262405
57,968,Ghusari,262405
57,968,Gidhaur,262308
57,968,Gidhaur,262308
57,968,Gokul Nagar,263148
57,968,Gokul Nagar,263148
57,968,Gular Bhoj Canal Coloney,262401
57,968,Gular Bhoj Canal Coloney,262401
57,968,Hardaspur,262311
57,968,Hardaspur,262311
57,968,Haripur Harsan,262401
57,968,Haripur Harsan,262401
57,968,Jamaur,262308
57,968,Jamaur,262308
57,968,Jhagarpuri,263152
57,968,Jhagarpuri,263152
57,968,Jhankat,262308
57,968,Jhankat,262308
57,968,Jogipura,262401
57,968,Jogipura,262401
57,968,Kalinagar,263160
57,968,Kalinagar,263160
57,968,Kelakhera,263152
57,968,Kelakhera,263152
57,968,Khali Mahuwat,262308
57,968,Khali Mahuwat,262308
57,968,Kichha,263148
57,968,Kichha,263148
57,968,Kila Street,244713
57,968,Kila Street,244713
57,968,Kunda,244713
57,968,Kunda,244713
57,968,Kundeshwari,244713
57,968,Kundeshwari,244713
57,968,Kunwarpur Sisaya,263148
57,968,Kunwarpur Sisaya,263148
57,968,Lalpur,263148
57,968,Lalpur,263148
57,968,Lamakhera,262405
57,968,Lamakhera,262405
57,968,Mahuwakhera,244713
57,968,Mahuwakhera,244713
57,968,Majra Anand Singh,262401
57,968,Majra Anand Singh,262401
57,968,Maldhanchaur,244713
57,968,Maldhanchaur,244713
57,968,Manua Patti,263148
57,968,Manua Patti,263148
57,968,Nakatpura,263148
57,968,Nakatpura,263148
57,968,Nakulia,262405
57,968,Nakulia,262405
57,968,Narainpur Dohania,263152
57,968,Narainpur Dohania,263152
57,968,Narayanpur,263148
57,968,Narayanpur,263148
57,968,Naugaon Nath,262308
57,968,Naugaon Nath,262308
57,968,Naugaon Thagoo,262308
57,968,Naugaon Thagoo,262308
57,968,Nausar,262308
57,968,Nausar,262308
57,968,Pandari,262405
57,968,Pandari,262405
57,968,Pantnagar,263145
57,968,Pantnagar,263145
57,968,Patharchatta,263145
57,968,Patharchatta,263145
57,968,Peerumadra Edso,244711
57,968,Pratappur,244713
57,968,Peerumadra Edso,244711
57,968,Premnagar,263152
57,968,Premnagar,263152
57,968,R.t.c. Hempur,254716
57,968,R.t.c. Hempur,254716
57,968,Raipur,244712
57,968,Raipur,244712
57,968,Rudarpur,263153
57,968,Rudarpur,263153
57,968,S.a.i. Camp Edso,262403
57,968,S.a.i. Camp Edso,262403
57,968,S.f. Bazpur,262401
57,968,S.f. Bazpur,262401
57,968,S.m. Kashipur,244714
57,968,S.m. Kashipur,244714
57,968,S.m. Nadehi,244717
57,968,S.m. Nadehi,244717
57,968,Sahdaura,263148
57,968,Sahdaura,263148
57,968,Sarasaria,263138
57,968,Sarasaria,263138
57,968,Shaktifarm,263154
57,968,Shaktifarm,263154
57,968,Shantpuri,263148
57,968,Shantpuri,263148
57,968,Sisona,262405
57,968,Sisona,262405
57,968,Spinning Mill Kashipur,244713
57,968,Spinning Mill Kashipur,244713
57,968,Sripur Bichwa,262308
57,968,Sripur Bichwa,262308
57,968,Subashnagar,263152
57,968,Subashnagar,263152
57,968,Sultanpur Edso,262123
57,968,Sultanpur Edso,262123
57,968,Suryanagar,263148
57,968,Suryanagar,263148
57,968,T.c. Rudarpur Edso,263154
57,968,T.c. Rudarpur Edso,263154
57,968,Thari,254716
57,968,Thari,254716
57,968,Uttamnagar,263148
57,968,Uttamnagar,263148
57,968,Uttarsia,263148
57,968,Uttarsia,263148
57,1060,Arakot,249185
57,1060,Arakot,249185
57,1060,Badhangaon,249196
57,1060,Badhangaon,249196
57,1060,Bagasu,249171
57,1060,Bagasu,249171
57,1060,Bagori,249196
57,1060,Bagori,249196
57,1060,Baldogi,249196
57,1060,Baldogi,249196
57,1060,Banchaura,249152
57,1060,Banchaura,249152
57,1060,Bangaon,249152
57,1060,Bangaon,249152
57,1060,Barsali,249135
57,1060,Barsali,249135
57,1060,Bhankoli,249193
57,1060,Bhankoli,249193
57,1060,Bhankoli-ranwain,249171
57,1060,Bhankoli-ranwain,249171
57,1060,Bhansadi,249141
57,1060,Bhansadi,249141
57,1060,Bharangaon,249193
57,1060,Bharangaon,249193
57,1060,Bhatiya,249171
57,1060,Bhatiya,249171
57,1060,Bhatwari-dhanari,249151
57,1060,Bhatwari-dhanari,249151
57,1060,Bhutanu,249185
57,1060,Bhutanu,249185
57,1060,Bonga,249193
57,1060,Bonga,249193
57,1060,Boun,249193
57,1060,Boun,249193
57,1060,Burkot,249141
57,1060,Burkot,249141
57,1060,Chiniyalisour,249196
57,1060,Chiniyalisour,249196
57,1060,Chinwa,249185
57,1060,Chinwa,249185
57,1060,Chotimani,249131
57,1060,Chotimani,249131
57,1060,Damta,249171
57,1060,Damta,249171
57,1060,Devjani,249185
57,1060,Devjani,249185
57,1060,Dewal,249171
57,1060,Dewal,249171
57,1060,Dhakara,249185
57,1060,Dhakara,249185
57,1060,Dharashu,249134
57,1060,Dharashu,249134
57,1060,Dhatmeer,249185
57,1060,Dhatmeer,249185
57,1060,Dichli,249196
57,1060,Dichli,249196
57,1060,Diwarikhol,249152
57,1060,Diwarikhol,249152
57,1060,Diyari,249171
57,1060,Diyari,249171
57,1060,Doni,249185
57,1060,Doni,249185
57,1060,Dunda,249151
57,1060,Dunda,249151
57,1060,Fitari,249185
57,1060,Fitari,249185
57,1060,Fold-dhanari,249151
57,1060,Fold-dhanari,249151
57,1060,Gaatu,249171
57,1060,Gaatu,249171
57,1060,Gaddugaad,249185
57,1060,Gaddugaad,249185
57,1060,Gangani,249141
57,1060,Gangani,249141
57,1060,Gangar,249185
57,1060,Gangar,249185
57,1060,Gangnani,249135
57,1060,Gangnani,249135
57,1060,Gangori,249193
57,1060,Gangori,249193
57,1060,Gangtari,249135
57,1060,Gangtari,249135
57,1060,Gawana,249193
57,1060,Gawana,249193
57,1060,Geonla,249152
57,1060,Geonla,249152
57,1060,Guniyatgaon,249185
57,1060,Guniyatgaon,249185
57,1060,Gyansu,249193
57,1060,Gyansu,249193
57,1060,Hudoli,249185
57,1060,Hudoli,249185
57,1060,Jamunachatti,249141
57,1060,Jamunachatti,249141
57,1060,Jankimai Chatti,249141
57,1060,Jankimai Chatti,249141
57,1060,Jhalla,249135
57,1060,Jhalla,249135
57,1060,Jogath,249196
57,1060,Jogath,249196
57,1060,Joshiyara,249193
57,1060,Joshiyara,249193
57,1060,Junga,249152
57,1060,Junga,249152
57,1060,Kafnol,249171
57,1060,Kafnol,249171
57,1060,Kali Gaon,249151
57,1060,Kallyani,249193
57,1060,Kalogi,249171
57,1060,Kalyani,249152
57,1060,Kandari,249171
57,1060,Kansi,249196
57,1060,Kantari,249185
57,1060,Katkhet,249151
57,1060,Khalsi,249196
57,1060,Khalsi,249196
57,1060,Kharsali,249141
57,1060,Kharsali,249141
57,1060,Khurmola,249152
57,1060,Khurmola,249152
57,1060,Kotdhar,249152
57,1060,Kotdhar,249152
57,1060,Kotiyalgaon,249171
57,1060,Kotiyalgaon,249171
57,1060,Kunwa,249171
57,1060,Kunwa,249171
57,1060,Latasera,249194
57,1060,Latasera,249194
57,1060,M.d. Colony,249194
57,1060,M.d. Colony,249194
57,1060,Mahidanda,249195
57,1060,Mahidanda,249195
57,1060,Malla,249135
57,1060,Malla,249135
57,1060,Maneri,249194
57,1060,Maneri,249194
57,1060,Manpur,249193
57,1060,Manpur,249193
57,1060,Margaon,249196
57,1060,Margaon,249196
57,1060,Masri,249185
57,1060,Masri,249185
57,1060,Matli,249193
57,1060,Matli,249193
57,1060,Moltari,249185
57,1060,Moltari,249185
57,1060,Mori,249185
57,1060,Mori,249185
57,1060,Mustik Sour,249193
57,1060,Mustik Sour,249193
57,1060,Nagangaon,249141
57,1060,Nagangaon,249141
57,1060,Naggaon,249152
57,1060,Naggaon,249152
57,1060,Naitwar,249185
57,1060,Naitwar,249185
57,1060,Naugaon,249171
57,1060,Naugaon,249171
57,1060,Netala,249193
57,1060,Netala,249193
57,1060,New Barsali,249193
57,1060,New Barsali,249193
57,1060,Odgaon,249171
57,1060,Odgaon,249171
57,1060,Pata,249193
57,1060,Pata,249193
57,1060,Patara,249152
57,1060,Patara,249152
57,1060,Pounthi,249141
57,1060,Pounthi,249141
57,1060,Pujeli,249141
57,1060,Purola,249185
57,1060,Rainthal,249135
57,1060,Rajgarhi,249191
57,1060,Rana,249141
57,1060,Ranari,249151
57,1060,Raturisera,249193
57,1060,Rikhaown,249171
57,1060,Rounthal,249196
57,1060,Sald,249193
57,1060,Sarigadkhamundi,249171
57,1060,Sarigadkhamundi,249171
57,1060,Sarnol,249141
57,1060,Sarnol,249141
57,1060,Siguni,249151
57,1060,Siguni,249151
57,1060,Siyansu,249131
57,1060,Siyansu,249131
57,1060,Soura,249194
57,1060,Soura,249194
57,1060,Tarakot,249152
57,1060,Tarakot,249152
57,1060,Thadiyar,249185
57,1060,Thadiyar,249185
57,1060,Thandi,249165
57,1060,Thandi,249165
57,1060,Thati -dhanari,249151
57,1060,Thati -dhanari,249151
57,1060,Tikochi,249185
57,1060,Tikochi,249185
57,1060,Udri,249165
57,1060,Udri,249165
57,1060,Uttarkashi Collectorate,249193
57,1060,Uttarkashi Collectorate,249193
57,1060,Uttarkashi Mdg,249193
57,1060,Uttarkashi Mdg,249193
57,1060,Uttaron,249193
57,1060,Uttaron,249193
